course_code,course_title,course_description
ANTH 151,Workshop in Ethnography,"Through demonstration, practice, and participation, acquire skills in collecting and analyzing cultural data. Work with members of other cultures and with each other to learn to identify significant cultural patterns. Lectures and readings provide added perspective and a theoretical base."
ANTH 151S,Workshop in Ethnography Abroad,"Prepares students to conduct ethnographic research. Through workshops and fieldwork exercises, students learn how to use immersive, sensory observation and regular writing practice to develop a research question and design a research project, practice ethnographic methods (which may include archival research), write up their findings in a synthetic essay, and present their research findings to an audience. The course covers topics such as ethics, reflexivity, accountability, bias, and positionality. Students create a portfolio of their work across the five weeks."
ANTH 152,Survey of Cultural Anthropological Theory,"Major figures, ideas, and writings in 19th- and 20th-century cultural anthropology surveyed. Students cannot receive credit for this course and ANTH 252 ."
ANTH 153,Medicine and Colonialism,"Addresses the overlapping relationship between medicine and colonialism in the 19th century, with attention to post-colonial theory and contemporary studies of post-colonial medical pluralism in the 20th century."
ANTH 157,Modernity and Its Others,"Beginning with the conquest of the Americas, considers how Western thinkers have explained seemingly irrational beliefs and practices (e.g. human sacrifice, witchcraft, prophetic dreams, shamanism, spirit worlds), and asks how we might better understand notions of reality very different from our own."
ANTH 158,Feminist Ethnographies,Considers the relationship between anthropology and feminism. Provides historical perspective on gender inequalities in the discipline as well as the emergence of feminist anthropology. Students read and engage with examples of feminist ethnography form a variety of regions and subfields.
ANTH 159,Race and Anthropology,"Examines concept of race in anthropology. Begins with histories of race in anthropology; turns to contemporary analysis of racism, identity formation, and diaspora; and concludes with current debates on the validity of race as an object of analysis."
ANTH 160,Reproductive and Population Politics,"Examines reproductive and population politics across the globe, with a focus on feminist and ethnographic analyses of the stakes of various actors, from states to religious bodies to non-governmental organizations, in questions of who reproduces and in what circumstances."
ANTH 161,The Anthropology of Food,Critically examines food as a fundamental aspect of social and cultural life and key concept in the development of anthropological theory and methods. Topics include: power relationships; community building; exchange and reciprocity; symbolism; cultural rules and rituals; globalization; and memory.
ANTH 161S,"Anthropology of Food, Abroad","Food as a fundamental aspect of social/cultural life and key concept in development of anthropological theory and methods. Studying abroad, investigations are grounded in local ethnographic context to learn how anthropologists study food, practice methods, and understand food's local importance."
ANTH 162,Anthropology of Displaced Persons,"Examines the causes, consequences, forms, and experiences of human movement, displacement, and abandonment. Topics include: migration, refugees, forced displacement, environmental displacement, tourism, transnational communities, and other displaced populations."
ANTH 163,Kinship,"Provides a critical survey of debates, old and new, in the study of kinship. Readings range from classical treatments to recent reformulations that use kinship as a lens for exploring intimacy, memory, futurity, embodiment, commodification, and power. Students cannot receive credit for this course and ANTH 263."
ANTH 164,The Anthropology of Dance,An intense reading seminar which critically reviews anthropological works in dance ethnography and dance theory. Recommended for anthropology majors.
ANTH 166,"States, Bureaucracies , and Other Cosmological Propositions","Investigates the cosmologies of states and bureaucracies and the practices through which officials or rulers seek to produce order, knowledge, or stability. Looks at paperwork, nationalist and court rituals, practices of mapping and classification, forms of citizenship."
ANTH 170,History of Archaeological Theory,Historical review of prehistoric archaeology from antiquarianism to the present. Emphasis on development of archaeological theory and its relation to evolutionary and anthropological theory. Students cannot receive credit for this course and ANTH 270.
ANTH 171,Materials and Methods in Historical Archaeology,"In this intensive, hands-on course, students learn the step-by-step processes involved in conducting laboratory research on historic artifacts. Students study the ins and outs of analyzing, cataloging, and dating historic artifacts."
ANTH 172,Archaeological Research Design,"Develops practical skills for connecting archaeological theory and methods to grant writing, final reports and presentations. Examines elements of good research design, including the logic of scientific inquiry, ethics, project conceptualization, measurement, sampling, data analysis, and effective writing."
ANTH 173,Origins of Farming,"Survey of the ecological and archaeological evidence for the origins of plant and animal domestication in Africa, Eurasia, and the Americas. Discussion will center on the preconditions of this drastic alteration in human ecology and its consequences in transforming human societies. Open to nonmajors. Students cannot receive credit for this course and ANTH 273."
ANTH 174,Origins of Complex Societies,"Deals with evidence and theories concerning the origins of complex society; the transition from egalitarian, foraging societies to the hierarchical, economically specialized societies often referred to as civilizations. Focuses on both Old World and New World cultures. Students cannot receive credit for this course and ANTH 174."
ANTH 175,African Archaeology,Introduces the evolution of African kingdoms and states from the emergence of farming communities to initial contact with Europe. Particular attention paid to the origins of social inequality and the evolution of centralized polities. Students cannot receive credit for this course and ANTH 275. (Formerly African Complex Societies.)
ANTH 176A,North American Archaeology,"Development of Native cultures in North America. Topics include peopling of the New World, early foragers, spread of agriculture and complex societies in the Southwest and Eastern Woodlands, and review of cultural developments in the West and Far North."
ANTH 176B,Meso-American Archaeology,"Review of the archaeological and ethnohistorical evidence for the origins and development of pre-Columbian civilizations in Meso-America including the Olmec, Maya, Zapotec, Mixtec Teotihuacan, Toltec, Tarascan, and Aztec. Students cannot receive credit for this course and ANTH 276B ."
ANTH 176C,Archaeology of the American Southwest,"Outlines the development of native cultures in the American Southwest from Paleo-Indian times (Ca. 11,5000 B.C.) through early European contact (ca. A.D. 1600). Topics include the greater environment; early foraging culture; the development of agriculture and village life; the emergence and decline of regional alliances; abandonment and reorganization; and changes in social organization, external relations, and trade."
ANTH 176D,Colonial Encounters in the Americas,"Uses archaeological case studies to explore processes of cultural confrontation, resistance, and transformation among Native American groups in the wake of European colonial expansion in the Western Hemisphere during the late 15th through mid-19th centuries."
ANTH 176E,Archaeology of the Pacific Northwest,"Explores some of the important issues surrounding the anthropological and archaeological study of the Pacific Northwest Coast--a roughly 1,800-kilometer-long shoreline that stretches from Yakutat Bay in Alaska to Cape Mendocino in California."
ANTH 176F,California Archaeology,"Introduces the Native peoples of California from an archaeological perspective. Covering the past 13,000 years, a variety of geographic and temporal settings are examined as well as current research in California archaeology."
ANTH 176G,Andean Archaeology,"Review of the archaeology and ethnohistory of the Central Andes, with a particular emphasis on the values and practices of Andean communities. Explores the whole Andean sequence, from the peopling of South America, early Andean societies, the development of states and empires, and the Spanish invasion."
ANTH 177,Environmental Archaeology,"Introduces students to methods and theories in the study of past human-environment interactions. Examines the use of archaeological environmental data (geological, botanical, faunal, chemical) and explores topics, such as megafaunal extinctions, domestication, and human impacts on environments."
ANTH 178,Historical Archaeology: A Global Perspective,Introduces the archaeology of European colonialism and the early-modern world. Topics include historical archaeological methods; the nature of European colonial expansion in New and Old Worlds; culture contact and change; and power and resistance in colonial societies. Students cannot receive credit for this course and ANTH 278.
ANTH 180,Ceramic Analysis in Archaeology,"Focuses on theories and techniques used by archaeologists to bridge the gap between the recovery of ceramic materials and their interpretation within cultural contexts. Topics include the origins of pottery, production methods, classification and typology, seriation, functional analysis, materials analysis and description, organization of production, trade, and the analysis of style. Students cannot receive credit for this course and ANTH 280 ."
ANTH 181X,Special Topics in Archaeology,Taught annually on a rotating basis by various faculty members. Precise focus of each year's course varies according to the instructor and is announced by the department.
ANTH 183,Introduction to Geographic Information Systems for Anthropology,"Practical laboratory in geographic information systems with a specific focus on anthropological questions and development. Students learn basic spatial analyses and carry them out on research datasets. This course also emphasizes the incorporation of spatial modeling in research design. To participate, students are required to sign up for an account in ESRI (freely available to all UCSC students)."
ANTH 184,Zooarchaeology,"Animals play many different roles in our lives, including as food, pets, tools, and symbols. This class introduces the study of animal remains retrieved from archaeological sites. Students learn about zooarchaeology through readings, lectures, and in-class laboratory sessions. Course explores a wide range of topics, including functional morphology, vertebrate taphonomy, reconstruction of human diet and behavior from faunal remains, data collection and management, and methods of quantitative analysis."
ANTH 185,"Osteology of Mammals, Birds, and Fish","Practicum in archaeological faunal analysis. Students learn to identify bones of all larger mammal species of central California plus selected bird and fish species. Students cannot receive credit for this course and ANTH 285 . Prerequisite(s): ANTH 184 or ANTH 102 or BIOL 138 & BIOL 138L or EART 100 or ENVS 105 & ENVS 105L, and permission of instructor."
ANTH 187,Cultural Heritage in Colonial Contexts,"Critical examination of the definitions of cultural heritage, its development as a concept, and the various laws, charters, and conventions that shape our management of the past in the present. The focus is on heritage in comparative colonial contexts."
ANTH 187B,Cultural Resource Management,"Explores how the past is managed or cared for in the present, especially in the context of the United States."
ANTH 188A,Practicum in Archaeology A,"Introduces practical skills in archaeological materials identification of stone, shell, bone, and other materials, curation, and database management. Students receive entry-level training with once-weekly class meetings and five hours per week of hands-on work. Prerequisite(s): ANTH 1 , ANTH 2 , and ANTH 3 , and instructor consent. All three courses in sequence ( ANTH 188A , ANTH 188B , ANTH 188C ) required to count for the anthropology major or minor."
ANTH 188B,Practicum in Archaeology B,"Introduces practical skills in archaeological materials identification of stone, shell, bone, and other materials, curation, and database management. Students receive entry-level training with once-weekly class meetings and five hours per week of hands-on work. Prerequisite(s): ANTH 1 , ANTH 2 , and ANTH 3 , and instructor consent. All three courses in sequence ( ANTH 188A , ANTH 188B , ANTH 188C ) required to count for the anthropology major or minor."
ANTH 188C,Practicum in Archaeology C,"Two-credit course introducing practical skills in archaeological materials identification of stone, shell, bone, and other materials; curation; and database management. Students receive entry-level training with once-weekly class meetings and five hours per week of hands-on work. Prerequisite(s): ANTH 1 , ANTH 2 , and ANTH 3 . All three courses in sequence ( ANTH 188A , ANTH 188B , ANTH 188C ) required to count for the anthropology major or minor."
ANTH 189,Archaeology Field Methods,"Lecture, laboratory, and fieldwork sessions on archaeological field methods including survey, mapping, excavation, record and database maintenance, artifact accessioning, curation, and analysis on the UCSC campus. Students attend lectures/laboratories two evenings each week and do fieldwork all day on Saturdays. Enrollment by instructor consent. Prerequisite(s): course 3 and application letter. Students who have done no previous fieldwork in archaeology have priority."
ANTH 189A,Archaeological Field Techniques,"Focuses on fundamental site identification, recording, and reporting efforts in archaeologyâthe daily grind in archaeological research and cultural resource management (CRM)âthat take place before any ground disturbance happens (usually as part of excavation). Class discussions of relevant readings, independent and group work, and hands-on exercises in the field (on campus) provide students with a working knowledge of everyday archaeological techniques, as well as familiarity with some of the important tools archaeologists use to identify and produce a record of cultural sites. Prerequisite(s): ANTH 3 . Enrollment is by permission of the instructor. Enrollment is restricted to anthropology majors."
ANTH 190X,Special topics in Biological Anthropology,Taught annually on a rotating basis by various faculty members. Precise focus of each year's course varies according to the instructor and is announced by the department. (Formerly Special topics in Archaeology-Physical Anthropology.)
ANTH 194A,Anthropology of Dead Persons,"Explores the cultural meanings of dead bodies and dead persons, including memorialization; the body in the United States legal system; cadavers in education and research; dead persons in mass disasters and human-rights cases; and repatriation of the dead. Prerequisite(s): Satisfaction of the Entry Level Writing and Composition requirements, and ANTH 1, ANTH 2 , and ANTH 3 . Enrollment restricted to senior anthropology and  Earth sciences/Anthropology combined majors. Enrollment by permission of instructor."
ANTH 194B,"Chimpanzees: Biology, Behavior, and Evolution","Explores studies on wild and captive chimpanzees with reference to other apes and humans. Topics include sociality, tool using, locomotion, traditions, and life history; social and physical dimensions of growth and development; language studies, genetics, and applications to human evolution."
ANTH 194C,Feminist Anthropology,"Considers feminist perspectives on the human past, archaeologists' perspectives on feminist theory, and the impact of gender, feminist, and critical social theory on archaeology as a profession. Students cannot receive credit for this course and ANTH 279."
ANTH 194D,Tribes/Castes/Women,"Examines historical constructions and contemporary deployments of the categories that have structured popular and anthropological understandings of social life in South Asia, particularly those of tribe, caste, and women. Students gain familiarity with the mobilization of these categories in contemporary political movements across India."
ANTH 194E,Belief,"Focuses on problems and opportunities raised by the concept of belief. Students work to develop an anthropological understanding of belief as practiced, then put it to use in analyzing episodes from the NPR series This I Believe."
ANTH 194F,Memory,Intensive and fast-paced seminar focusing on theoretical and ethnographic studies of memory as a means for dealing with the past.  Examines how ordinary people and societies have coped with the past through acts of selective remembering and forgetting.
ANTH 194G,Politics and Secularism,"Examines secularism as political doctrine and practice of government. Topics include: transformation of religion by secularization; forms of inclusion/exclusion enacted by secularism; relationship between secularism and colonial rule. Case studies drawn from Europe, South Asia, United States, and the Middle East."
ANTH 194H,Paleoanthropology,Detailed overview of the evidence for the origin and evolution of humans with emphasis on reconstructing the paleobiology of extinct hominids. Discussion of individual groups of ancient hominids from the Miocene apes to anatomically modern humans.
ANTH 194I,Consumption and Consumerism,"Investigates cultural analysis of consumer society, commodities, and consumer practices. Students develop their own research projects. Themes include: critiques of consumer society; symbolic analysis of goods, consumption as resistance, anthropologies of marketing, culture jamming; consumption and (post) colonialism."
ANTH 194J,Histories of Forests and Other Wild Places,"Wild Nature has a history.  This class offers tools for understanding the social and natural construction of wild nature.  We will learn to read rural landscapes--ethnographically, biologically, historically, creatively, and politically."
ANTH 194K,Reading Ethnographies,"Explores issues in the representation of culture through reading and discussing ethnographies. Recent experimental ethnographies open topics including the relation between fieldwork and writing, textual strategies, and the politics of ethnographic writing and research."
ANTH 194L,Archaeology of the African Diaspora,"Senior seminar on African diaspora archaeology. Draws on archaeological, historical, and anthropological perspectives to examine the cultural, social, economic, and political lives of Africans and their descendants in the New World and West Africa from the 15th through 19th centuries."
ANTH 194M,Medical Anthropology,Focuses on critical issues in the social sciences of health and healing. Designed for students pursuing graduate work in medical anthropology and/or public health.
ANTH 194N,Comparison of Cultures,Seminar for upper-division students interested in theories and methodology of social and cultural anthropology. Devoted to critical discussion of different methods of comparison practiced in anthropology.
ANTH 194O,Masculinities,"Considers the social construction of men and masculinities in a variety of ethnohistorical contexts as well as the unique contribution enabled by anthropological methods, particularly ethnographic fieldwork, to the study of gender and power."
ANTH 194P,"Space, Place, and Culture","Examines ways anthropologists have studied relationship between space, place, and culture. Covers early formulations acknowledging people in different cultural contexts ascribe particular meanings to places and to the concept of space and then traces the ways these questions have come to the fore in more recent scholarship."
ANTH 194Q,"Race, Ethnicity, Nation","Provides students with theoretical and methodological approaches to studying the relationships between race, ethnicity, and nation, with a comparative focus on the United States, Latin America, and Europe. Students use ethnographic methods and/or discourse analysis to develop individual research projects."
ANTH 194R,"Religion, Gender, Sexuality","Examines religion in relation to gender and sexuality. Examines how gender, sexuality, and religion intersect in notions of civilization, progress, and modernity in the contemporary and colonial periods. Particular attention paid to Islam, Christianity, and Hinduism."
ANTH 194S,Hearing Culture: The Anthropology of Sound,"Explores relationships between culture and acoustic worlds--environmental, verbal, and musical--within which we live. How sound is shaped by human belief and practice and the role sound plays in cultural and social life, both past and present."
ANTH 194T,Poverty and Inequality,"Through ethnographies about homelessness, food deprivation, and unemployment, examines the institutions through which poverty is recognized, the systems of morality shaping debates about need and appropriate behavior, and the effects of community responses to poverty."
ANTH 194U,"Environmental Anthropology: Nature, Culture, Politics",Presents key readings in environmental anthropology focusing on environmental conflicts. Students guided in developing research paper on a society environment topic of their choice. Class is writing intensive with in-class discussion and final presentations.
ANTH 194V,Who Owns the Past? Ethical and Political Dimensions of Contemporary Archaeology,"Considers the various stakeholders in archaeological practice. Students identify and evaluate the ethical and political issues involved in the study, interpretation, presentation, and conservation of the archaeological past through weekly readings, discussions, and case studies."
ANTH 194W,The Anthropology of Social Movements,"Focuses on the anthropology of social movements, especially the impact that global capital provokes on peripheral Latin American societies and the ways these respond through the organizing of social movements validating alternative worldviews that coalesce around issues pertaining to indigeneity, the environment, gender, and concepts of human dignity."
ANTH 194X,Women in Politics: A Third World Perspective,"Focuses cross-culturally on the status of women in the Third World and their formal and informal participation in politics. Also discussed are organized efforts, through participation in both national and autonomous movements, for women's rights."
ANTH 194Y,Archaeologies of Space and Landscape,"Examines contemporary archaeological perspectives on space and landscape. Focuses on how archaeology can contribute to an appreciation of the economic, cultural, and political factors that shape human perception, use, and construction of the physical world."
ANTH 194Z,Emerging Worlds,"Addresses encounters and contact zones between cultures that give rise to emerging worlds. Emerging worlds refers to the cultural heterogeneity and diversity created within world-making networks, geographies, innovations, and meanings, moving us beyond ideas about vanishing, autonomous cultures."
ANTH 195A,Biological Anthropology Senior Thesis Series: Research Design,"Introduces students to the principles and methods by which research projects in biological anthropology and data-based archaeology are devised and executed. Students design their senior thesis research projects, write research proposals, recapitulate laboratory methods, and engage in the discussion of quantitative and mixed-methods research in anthropology. Students must have already discussed research opportunities for their thesis with principle investigators who have agreed to sponsor a potential research project. Enrollment is restricted to senior anthropology majors and by permission of the instructor. Students cannot receive credit for this course and ANTH 295A . (Formerly Senior Thesis Seminar.)"
ANTH 195B,Biological Anthropology Senior Thesis Series: Guided Laboratory Research,"Guides students as they conduct the research projects proposed in ANTH 195A and is intended to promote a collaborative laboratory environment where students can share their progress and discuss problems and results with the group of other participating students and the instructor. This course reinforces the continuous exchange of ideas between students, ensuring that students do not work on individual projects in complete isolation. (Formerly Senior Thesis Research.)"
ANTH 195C,Biological Anthropology Senior Thesis Series:  Thesis Writing,"Emphasizes structured writing lead by manuscript guidelines with scheduled chapter drafts to be presented at specific times in the quarter. Students meet twice a week for seminars in which they present and discuss their results and writing progress with their peers and the instructor. Students are also introduced to the publishing landscape in the sciences, and trained in other forms of scientific research presentation (e.g. research posters, community meetings). (Formerly Senior Thesis Capstone.)"
ANTH 195S,Senior Thesis,Produce a quality research paper focusing on an anthropological topic of interest to you and that builds upon your experience in the major. Develop effective writing strategies and research skills to assist in professional development.
ANTH 196C,Traveling Cultures,"Considers why traveling cultures have posed a threat, often met with violence, to regimes of rule, particularly modern nation-states. Also explores the unique problems that conducting research with mobile communities poses for the ethnographer."
ANTH 196D,Food and Medicine,"Examines the intersections of food, medicine, and culture with special focus on nutrition, cultural knowledge, industrial foodways, genetically modified organisms (GMOs), ethnopharmacology, food safety, and biosecurity."
ANTH 196E,Pastoralists Past and Present,"Senior seminar treating the history and modern situation of the world's herding peoples. Readings draw on ethnographic, historical, archaeological, and ecological literatures. Students are coached in writing a 25-page research paper on a topic related to this theme."
ANTH 196F,"The Anthropology of Things: Gift, Sign, Commodity, Tool","Examines some approaches used by anthropologists and other thinkers to bring things into focus: as gifts, signs, commodities, and tools. Explores whether, by taking things seriously, anthropologists might learn to be empirical in new ways. Students cannot receive credit for this course and ANTH 225."
ANTH 196G,"Queer Worlds: Sexuality, Intimacy and Power in Contemporary Ethnography","How do we read, write, and recognize the queer body? How is it marked in politics, in intimate spaces, and in the ethnographic text? Drawing on ethnic studies and black queer studies, this seminar engages contemporary anthropological approaches to sexuality."
ANTH 196H,Global History and the Longue Duree,"Emerging anthropological approaches to global history, with an eye to historical frameworks of 500 years or more. Course requires engagement with advanced theoretical concepts and challenging historical texts. Intensive seminar format. Students cannot receive credit for this course and ANTH 269."
ANTH 196I,Hard Problems,"Explores interrelated, long-standing, difficult problems in human theory. Considers why these problems are so forbidding; what makes them significant; why they are hard; and whether hard problems come in different varieties or strengths."
ANTH 196J,Imagining America,Explores sites of heritage and the politics of cultural memory in the American context. Focuses on public representation and interpretation at places where multiple views of history come into conflict.
ANTH 196K,Settler Colonialism,"Provides seniors in anthropology a capstone experience. Settler colonialism is an all-encompassing, land-centered project that revolves around the elimination of the Native. This course revolves around a series of ethnographies and histories about settler colonialism."
ANTH 196L,Archaeology of the American Southwest,"Outlines the  development of native cultures in the American Southwest from Paleo-Indian times (ca. 11,500 B.C.) through early European Contact (ca. A.D. 1600)."
ANTH 196M,Modernity and its Others,"Examines how Western modernity has interpreted various forms of radical difference, beginning with the 15th-century conquest of the New World. Considers historical and contemporary examples of how Western thinkers have explained irrational beliefs and practices (e.g., witchcraft, human sacrifice, devil-worship)."
ANTH 196N,"The Body, Narrative, and Creative Practice","Seminar proposing that arts, such as dance, weaving, and creative writing, and the cultivation of more traditional scholarly works can and should be pursued together. The pursuit of such research-creation is a social justice practice that values many ways of knowing and can lead to emotionally compelling and politically effective communication. Students are introduced to concepts and debates from crip theory, feminist, queer, and critical race studies, performance studies, and narrative theory. They also participate in workshops using body-centered writing, moment work, visual arts, and embodied listening to produce creation-scholarship in a medium of their choice. Taught in conjunction with ANTH 296N ; students cannot receive credit for this course and ANTH 296N . Prerequisite(s): Satisfaction of the Entry Level Writing and Composition requirements; and ANTH 1 , ANTH 2 , and ANTH 3 . Enrollment is restricted to senior anthropology majors and by permission of instructor."
ANTH 196O,Gender and Politics,"Analyzes how gender defines those who participate in the public sphere and circumscribes their actions, with particular attention to individuals who identify as female and are engaged in political activities."
ANTH 196P,Disability and Difference,"Challenges limiting conceptions of what it means to be human in a range of arenas, from our understandings of culture to our conceptions of built space to our assumptions about citizenship, asking why disability makes people nervous."
ANTH 196Q,Property,"Analyzes and denaturalizes property as a key aspect of social life and power relations. Students develop their own research projects. Themes include: concepts of property; politics of private property, home and rent; racialized dispossession; and cultural appropriation."
ANTH 196R,Design Anthropology,"Senior seminar introduces students to principles, approaches, methods, and professional dimensions of design anthropology. Emphasizes collaborative methods and development of new methods for ethnographic research, analysis, and communication. Through a quarter-long research project, students develop professional skills and portfolio materials. Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements. Enrollment restricted to senior anthropology majors and is by permission. Students cannot receive credit for this course and ANTH 208C."
ANTH 196S,Food for Thought,"Adopts food as an analytical lens to explore the relationship between environmental sustainability and social justice. Course draws from ethnographic texts, films, and recipe books across the world to provide an overview of contemporary cultures, debates, insights, and politics. Students examine how everyday food practices shape meanings of community, gender, taste, beliefs, taboos, hierarchies, and class. Students taking this course learn how food, consumption, and dietary practices allow us to understand significant economic, social, and political developments. (Formerly Food Cultures in South Asia.)"
ANTH 196T,Archaeology of Technology,Examines approaches mobilized by archaeologists to reconstruct ancient technologies and to explore how technological practices are implicated in processes of social formation and change. Approaches that engage technology as embodied technique and situated cultural practice are emphasized.
ANTH 196U,Historical Anthropology,"Provides seniors in anthropology a capstone experience. Involves critical engagement with archaeological, ethnohistorical, ethnographic, and oral line of evidence to evaluate the outcomes of indigenous people's interactions with different forms of missionary, settler, and mercantile colonialism."
ANTH 196V,Radical Craft,"Examines how making and artisanship can be harnessed to solve challenging social, political, and environmental issues. Examines anthropology's historical role in creating a dichotomy between ""art"" and ""craft,"" as well as contemporary ethnographic work that examines craft practices from weaving to pottery to the creation of mask trees for mutual aid during a time of global pandemic. Weekly topics include research-creation, ""craftivism,"" speculative design, Indigenous art worlds, and responses to the environmental and social ravages of fast fashion. Students select a pressing social problem and then complete a hands-on, craft-based project of their choice; no prior skills or talents are required."
ANTH 196W,Anthropology of Weather and Exposure,"Students discuss how differing approaches to weather and exposure generate different approaches to culture, science, and politics; identify key moments in cultural anthropology's engagement with environmental and climactic questions; and delineate new areas of research."
ANTH 196X,Medicines for the Soul,"Examines the soul as an act of being, as motion, and as a figure that comes to stand between immaterial and material, psyche and body, memory and imagination, life and death, madness and prophecyâall in order to consider larger anthropological questions of cultural and historical transmission. Course explores descriptions of the soul as found in early 20th century anthropological and ethnographic texts and its reappearance in psychology and psychological anthropology and, too, its haunting absence in contemporary anthropological texts."
ANTH 197,Laboratory Tutorial,Independent laboratory research on selected topics in archeology and physical anthropology. Interview with appropriate instructor required.
ANTH 197F,Laboratory Tutorial,Independent laboratory research on selected topics in archaeology and physical anthropology. Interview with appropriate instructor required. Enrollment restricted to anthropology majors.
ANTH 198,Independent Field Study,Off-campus field study. Students submit petition to sponsoring agency.
ANTH 198F,Ind Field Study,Ind Field Study
ANTH 198G,Independent Field Study,Off-campus field study. Students submit petition  to sponsoring agency.
ANTH 199,Tutorial,Students submit petition to sponsoring agency.
ANTH 199F,Tutorial,Tutorial
HIS 149F,"Southeast Asian Histories, Societies and Politics in Nine Tasty Foods","Examines political, cultural, and historical dynamics in Southeast Asia from the early modern period to the present. Students explore canonical reading and some of the most influential theories of Southeast Asian studies through animal and plant life that have gastronomically served the region for centuries. This approach leads students to recognize the utility of interdisciplinary investigation and to consider how fields such as ecology, zoology, and maritime studies have been impacted by methodologically creative work in the humanities and social sciences on the region."
APLX 55,"Pardon My French: Politeness, Impoliteness, Swearing, Slang, and Humor","Explores the history and use of ""bad;"" language, including issues of politeness, impoliteness, swearing, slang, and humor. In readings, lectures and discussions, we examine contexts of language use: who can say what, when, how and under what communicative conditions."
APLX 80,Introduction to Applied Linguistics,"Introduces the field of applied linguistics, learning about language acquisition, use, and teaching in multilingual contexts from multiple disciplinary perspectives. Also, introduces research models that examine psycholinguistic, sociolinguistic, and/or educational aspects of multilingualism.."
APLX 99,Tutorial,Students submit petition to sponsoring agency.
APLX 99F,Tutorial,Students submit petition to sponsoring agency.
APLX 101,Second-Language Acquisition,"Introduces the field of second-language acquisition. Topics include contexts of acquisition, the impact of individual differences, and basic methods of data collection and analysis."
APLX 102,Bilingualism,"An overview of bilingualism. Focuses on bilingualism as an individual phenomenon (i.e., how two languages develop and are represented in the minds of individual speakers), and as a social one (i.e., how do bilinguals interact in a community and how does this context of language contact shape their linguistic identity)."
APLX 103,Second Language Speech,"Examines themes related to the acquisition of L2 phonetics and phonology, including theories and models of L2 speech learning; phonetics and phonology in L2 acquisition; as well as the training effects on L2 pronunciation."
APLX 105,Language Loss,"The phenomenon of  losing your native language  is well attested anecdotally by many speakers who are separated from their first language environment. Course provides a broad overview of first language attrition (loss) in different populations including adult native speakers, children, international adoptees, heritage speakers, and bilingual returnees. Examines the linguistic aspects of attrition in order to determine which areas of language are typically impacted by attrition, then focuses on individual differences (e.g., identity) and contextual factors (e.g., input) that may speed up or prevent attrition. Emphasizes considering first language attrition and second language (L2) acquisition as two inseparable sides of bilingualism, both in individual speakers and in bilingual communities."
APLX 112,Language and Gender,"Examines the relationship between language and gender. Topics include: gender differences in speech; linguistic gender norms and stereotypes; gender and the construction of identity in discourse; sexuality and language; sexism in language; social, educational, and political implications. (Formerly Languages 112.)"
APLX 113,Inter-Cultural Communication,"Examines intercultural communication and miscommunication between individuals and speech communities, both within North American and global contexts. Through discourse and analytic approaches, students explore cultural stereotypes and interactional expectations, among other issues, that influence the outcome of intercultural communication. (Formerly Languages 113, Cross-Cultural Communication and Miscommunication.)"
APLX 113I,Intercultural CommunicationâGlobal Internship,"Examines intercultural (mis)communication among individuals and speech communities, both within U.S. and global contexts. Using discourse and other analytic approaches, students explore cultural values, stereotypes, and interactional expectations, among other issues, that influence the outcome of intercultural communication. Enrollment is restricted to students enrolled in the Global Internship summer program."
APLX 115,Language and Power,"Examines the relationship between language and power. Explores the ways in which national languages, regional and social dialects, and specific phonological morpho-syntactic, or lexical features come to be associated with particular social meanings and contribute to creating social inequality."
APLX 116,Discourse Analysis: Language Use and Context,"Familiarizes students with the methods and theoretical assumptions behind discourse analytic approaches to the study of language. Examines language used in specific contexts. Topics include: genres, registers; discourse organization; discourse grammar; interaction; conversation; pragmatics; and social practice."
APLX 122,Linguistic Diversity & Social Justice,"Explores the relationship between linguistic diversity and social justice: the celebration of multilingualism on the one hand and the negative experiences of people who speak ""minority"" languages in ""dominant"" cultural contexts on the other."
APLX 124,Second Language Variation and Sociolinguistics,Addresses issues related to the second-language acquisition and use of variable structures and the development of sociolinguistic competence. Topics include: overview of linguistic variation and sociolinguistics; immersion contexts; individual differences and predictors of success; and ultimate attainment.
APLX 135,Second Language Teaching,"Introduces the theories of second-language acquisition and their connection to second-language teaching. Students develop cutting-edge teaching and testing materials, and engage with current scholarship on language instruction. Recommend at least one year of college-level study of a foreign language, or its equivalent. Enrollment is restricted to applied linguistics and multiculturalism, linguistics, and language studies majors, or by permission of instructor.Â Students cannot receive credit for this course and APLX 235 ."
APLX 136,Second Language Assessment,"Introduces the fundamentals of second-language testing by presenting theories, key concepts, and practical applications in language assessment. Throughout the course, students develop their own assessment portfolios, creating materials they can use in their post-B.A. career."
APLX 138,English Grammar for TESOL,What is it that teachers of English as a second/foreign language should know about the English grammar systemâand about pedagogical options for teaching grammarâin order to best facilitate students' language development? Course is designed to be an accessible overview of English grammatical structures and grammar-teaching methods for practical classroom application.
APLX 190,Research Seminar in Applied Linguistics,Prepares students to conduct research in applied linguistics. Students evaluate published studies that represent both quantitative and qualitative methods.
APLX 199,Tutorial,Students submit petition to sponsoring agency.
APLX 199F,Tutorial,Students submit petition to sponsoring agency.
ARBC 1,First-Year Arabic,"Introduction to Arabic language and Arabic-speaking culture with practice in all four language skills: listening, speaking, reading, and writing. Intended for students with no previous study of Arabic as well as heritage speakers."
